crop,model,percent,year,rmse
maize,gru,10,2012,0.9510869298889981
maize,gru,10,2013,0.8485618375232493
maize,gru,10,2014,0.7515957130943091
maize,gru,10,2015,1.5213550374616707
maize,gru,10,2016,0.7674449441544323
maize,transformer,10,2002,0.6466561085275707
maize,transformer,10,2003,1.4944087133514454
maize,transformer,10,2004,0.7943568334347776
maize,transformer,10,2006,0.7835429035302542
maize,transformer,10,2007,0.7790487860781125
maize,transformer,10,2008,0.7906781418228638
maize,transformer,10,2010,0.7047944078317244
maize,transformer,10,2011,0.8702264539414428
maize,transformer,10,2012,1.0199121643760358
maize,transformer,10,2013,0.8410973805595242
maize,transformer,10,2014,0.7311985326586367
maize,transformer,10,2015,1.5255479897421529
maize,transformer,10,2016,0.7096576020830195
maize,cnn_rnn,10,2002,0.6451597793381897
maize,cnn_rnn,10,2003,1.4385892515947152
maize,cnn_rnn,10,2004,0.7246251242219459
maize,cnn_rnn,10,2006,0.7290106856018835
maize,cnn_rnn,10,2007,0.734405334935664
maize,cnn_rnn,10,2008,0.7506686296525134
maize,cnn_rnn,10,2010,0.7267926474076115
maize,cnn_rnn,10,2011,0.7931142251859625
maize,cnn_rnn,10,2012,0.9672286445211586
maize,cnn_rnn,10,2013,0.8369405810417416
maize,cnn_rnn,10,2014,0.6955051881778936
maize,cnn_rnn,10,2015,1.5079291086805633
maize,cnn_rnn,10,2016,0.7651775931151017
maize,world,10,2002,0.6313530114599294
maize,world,10,2003,1.0765939941994664
maize,world,10,2004,0.8030034360043635
maize,world,10,2006,0.6364427791912357
maize,world,10,2007,0.7298960074123663
maize,world,10,2008,0.7023265231699043
maize,world,10,2010,0.7203232845792805
maize,world,10,2011,0.785795129138293
maize,world,10,2012,1.0512515410756038
maize,world,10,2013,0.8162831519065936
maize,world,10,2014,0.7540188411079584
maize,world,10,2015,1.5307515869473043
maize,world,10,2016,0.6934091061795126
maize,history,30,2002,0.7095266075784907
maize,history,30,2003,1.179529651145773
maize,history,30,2004,0.8395243258379725
maize,history,30,2006,0.6525212365139417
maize,history,30,2007,0.754434817540883
maize,history,30,2008,0.7349058874647059
maize,history,30,2010,0.7691459837572167
maize,history,30,2011,0.8074875280584617
maize,history,30,2012,1.139504359056512
maize,history,30,2013,0.8080479336691562
maize,history,30,2014,0.7743647115837157
maize,history,30,2015,1.524710954219872
maize,history,30,2016,0.7234732290179333
maize,ridge,30,2002,0.6477968107594797
maize,ridge,30,2003,2.600180992138397
maize,ridge,30,2004,2.2970104715260207
maize,ridge,30,2006,0.7042275577194472
maize,ridge,30,2007,0.7911107623346698
maize,ridge,30,2008,0.8487870934225348
maize,ridge,30,2010,0.7540287654172417
maize,ridge,30,2011,0.7764399863894498
maize,ridge,30,2012,1.0756840784227086
maize,ridge,30,2013,0.9013635501181736
maize,ridge,30,2014,0.8035664491151293
maize,ridge,30,2015,1.5178784892979926
maize,ridge,30,2016,0.8730459240162424
maize,random_forest,30,2002,0.6483436743581747
maize,random_forest,30,2003,1.1234763477426801
maize,random_forest,30,2004,0.8342862426310402
maize,random_forest,30,2006,0.6232946323401709
maize,random_forest,30,2007,0.6978243993727169
maize,random_forest,30,2008,0.6798897944508941
maize,random_forest,30,2010,0.7229604388242495
maize,random_forest,30,2011,0.8084259192613356
maize,random_forest,30,2012,1.0892196835145518
maize,random_forest,30,2013,0.840539609716083
maize,random_forest,30,2014,0.7904167897219475
maize,random_forest,30,2015,1.5843258275003531
maize,random_forest,30,2016,0.734209717229688
maize,lightgbm,30,2002,0.6135696980942302
maize,lightgbm,30,2003,1.1688540262740668
maize,lightgbm,30,2004,0.8154102961642725
maize,lightgbm,30,2006,0.62380055079587
maize,lightgbm,30,2007,0.7079977680624345
maize,lightgbm,30,2008,0.7132645564961331
maize,lightgbm,30,2010,0.6891385943158514
maize,lightgbm,30,2011,0.8001337217457567
