crop,cutoff,seed,model,percent,year,rmse
rice,2009,42,lightgbm,70,2015,0.9774822377677365
rice,2009,42,lightgbm,70,2016,0.7286737360645577
rice,2009,42,random_forest,70,2010,0.8702611639457515
rice,2009,42,random_forest,70,2011,0.7221993482695719
rice,2009,42,random_forest,70,2012,0.8146211440268322
rice,2009,42,random_forest,70,2013,0.7788689930034872
rice,2009,42,random_forest,70,2014,0.9094538262734738
rice,2009,42,random_forest,70,2015,0.9862979360436529
rice,2009,42,random_forest,70,2016,0.7021891442208021
rice,2009,45,world,70,2010,0.877746511805482
rice,2009,45,world,70,2011,0.6912567771345347
rice,2009,45,world,70,2012,0.6961447204680113
rice,2009,45,world,70,2013,0.8099262204157515
rice,2009,45,world,70,2014,0.8575852258472307
rice,2009,45,world,70,2015,0.9191334468460445
rice,2009,45,world,70,2016,0.7026811727513914
rice,2009,45,lightgbm,70,2010,0.8908419019225006
rice,2009,45,lightgbm,70,2011,0.7074492538262864
rice,2009,45,lightgbm,70,2012,0.8120509039466577
rice,2009,45,lightgbm,70,2013,0.817609130176302
rice,2009,45,lightgbm,70,2014,0.9026122564581428
rice,2009,45,lightgbm,70,2015,0.9845432680052467
rice,2009,45,lightgbm,70,2016,0.7326619592231398
rice,2009,45,random_forest,70,2010,0.8648503244075857
rice,2009,45,random_forest,70,2011,0.7227150198868436
rice,2009,45,random_forest,70,2012,0.8118796622226525
rice,2009,45,random_forest,70,2013,0.7856216512582694
rice,2009,45,random_forest,70,2014,0.9031076208776554
rice,2009,45,random_forest,70,2015,0.9834583608234002
rice,2009,45,random_forest,70,2016,0.7073134890226656
rice,2009,48,world,70,2010,0.8446827648850568
rice,2009,48,world,70,2011,0.6707407443124609
rice,2009,48,world,70,2012,0.6824143834391373
rice,2009,48,world,70,2013,0.8084571049698576
rice,2009,48,world,70,2014,0.8519715988301335
rice,2009,48,world,70,2015,0.9117082413761947
rice,2009,48,world,70,2016,0.6979145660791803
rice,2009,48,lightgbm,70,2010,0.8947258879192308
rice,2009,48,lightgbm,70,2011,0.7166468133624354
rice,2009,48,lightgbm,70,2012,0.8125894756980733
rice,2009,48,lightgbm,70,2013,0.8073988817115473
rice,2009,48,lightgbm,70,2014,0.9154240715399886
rice,2009,48,lightgbm,70,2015,0.982006861782823
rice,2009,48,lightgbm,70,2016,0.7292090285923746
rice,2009,48,random_forest,70,2010,0.8610393494312174
rice,2009,48,random_forest,70,2011,0.721129736665804
rice,2009,48,random_forest,70,2012,0.8086032809417961
rice,2009,48,random_forest,70,2013,0.7863515447184082
rice,2009,48,random_forest,70,2014,0.9077523687202094
rice,2009,48,random_forest,70,2015,0.9810771184640018
rice,2009,48,random_forest,70,2016,0.70446455488876
soybean,2001,42,world,70,2002,0.29928554439313776
soybean,2001,42,world,70,2003,0.40271644849277766
soybean,2001,42,world,70,2004,0.4447350217174929
soybean,2001,42,lightgbm,70,2002,0.2892764179964374
soybean,2001,42,lightgbm,70,2003,0.4157309818116675
soybean,2001,42,lightgbm,70,2004,0.44995315715521733
soybean,2001,42,random_forest,70,2002,0.30979681055614045
soybean,2001,42,random_forest,70,2003,0.40559311640204576
soybean,2001,42,random_forest,70,2004,0.45274674191749925
soybean,2001,45,world,70,2002,0.3089007890649956
soybean,2001,45,world,70,2003,0.4250771745001164
soybean,2001,45,world,70,2004,0.4631652639098383
soybean,2001,45,lightgbm,70,2002,0.29066318972799376
soybean,2001,45,lightgbm,70,2003,0.41310850153817386
soybean,2001,45,lightgbm,70,2004,0.458290717198532
soybean,2001,45,random_forest,70,2002,0.3106182248483262
soybean,2001,45,random_forest,70,2003,0.4096727755279878
soybean,2001,45,random_forest,70,2004,0.44811081378177736
soybean,2001,48,world,70,2002,0.2981512283584462
soybean,2001,48,world,70,2003,0.40472366382547975
soybean,2001,48,world,70,2004,0.4446953957414071
soybean,2001,48,lightgbm,70,2002,0.29182671839988306
soybean,2001,48,lightgbm,70,2003,0.4115487362111433
soybean,2001,48,lightgbm,70,2004,0.4559487926492094
soybean,2001,48,random_forest,70,2002,0.3095120645767991
soybean,2001,48,random_forest,70,2003,0.4061192660461954
soybean,2001,48,random_forest,70,2004,0.45359595286010224
soybean,2005,42,world,70,2006,0.22032880378392594
soybean,2005,42,world,70,2007,0.2924773417554221
soybean,2005,42,world,70,2008,0.26520941122813324
