crop,seed,model,percent,year,rmse
maize,42,world,50,2016,0.6989391995566304
maize,45,world,10,2010,0.7190241233819821
maize,45,world,10,2011,0.79182500347375
maize,45,world,10,2012,1.0657463118098145
maize,45,world,10,2013,0.8208013608404662
maize,45,world,10,2014,0.7570794221656194
maize,45,world,10,2015,1.5347128696429535
maize,45,world,10,2016,0.7007560709722445
maize,45,world,30,2010,0.7225895574901813
maize,45,world,30,2011,0.7900889689262817
maize,45,world,30,2012,1.0690467027557689
maize,45,world,30,2013,0.8244897330147694
maize,45,world,30,2014,0.7587335475336012
maize,45,world,30,2015,1.5368950053929928
maize,45,world,30,2016,0.7004036229898307
maize,45,world,50,2010,0.7314719623348772
maize,45,world,50,2011,0.7890055048536377
maize,45,world,50,2012,1.0721066228997502
maize,45,world,50,2013,0.8392222062897711
maize,45,world,50,2014,0.7631756258763474
maize,45,world,50,2015,1.5446349693358596
maize,45,world,50,2016,0.7072599681864781
maize,48,world,10,2010,0.718469665713007
maize,48,world,10,2011,0.7961562992598636
maize,48,world,10,2012,1.07267954363172
maize,48,world,10,2013,0.8285270331248921
maize,48,world,10,2014,0.7543526659407079
maize,48,world,10,2015,1.5338718568456078
maize,48,world,10,2016,0.6960363492455125
maize,48,world,30,2010,0.7214057145833447
maize,48,world,30,2011,0.7948886690593047
maize,48,world,30,2012,1.0738817905117397
maize,48,world,30,2013,0.8308126557826798
maize,48,world,30,2014,0.7568443758937781
maize,48,world,30,2015,1.536995113023233
maize,48,world,30,2016,0.6951172429696221
maize,48,world,50,2010,0.7284500395516654
maize,48,world,50,2011,0.7951856358250937
maize,48,world,50,2012,1.0740013475694927
maize,48,world,50,2013,0.8443275898092845
maize,48,world,50,2014,0.7617152170584638
maize,48,world,50,2015,1.544325771466175
maize,48,world,50,2016,0.7006013320092903
rice,42,world,10,2002,0.5632796519640638
rice,42,world,10,2003,1.0312324461535278
rice,42,world,10,2004,0.6681352693242005
rice,42,world,30,2002,0.5779164965478975
rice,42,world,30,2003,1.0368364822296745
rice,42,world,30,2004,0.6691361735711712
rice,42,world,50,2002,0.5879109621868299
rice,42,world,50,2003,1.0395061760225814
rice,42,world,50,2004,0.6733880148752899
rice,45,world,10,2002,0.5605459289584532
rice,45,world,10,2003,1.039134534183741
rice,45,world,10,2004,0.6674434082714162
rice,45,world,30,2002,0.5734658987400575
rice,45,world,30,2003,1.0435987685653398
rice,45,world,30,2004,0.6673760277984834
rice,45,world,50,2002,0.583566780044323
rice,45,world,50,2003,1.0454249055834532
rice,45,world,50,2004,0.671571918661132
rice,48,world,10,2002,0.5614497243466368
rice,48,world,10,2003,1.0487914772043447
rice,48,world,10,2004,0.6803730829086921
rice,48,world,30,2002,0.575511349744871
rice,48,world,30,2003,1.053533034799017
rice,48,world,30,2004,0.6815900696252755
rice,48,world,50,2002,0.5855273814147857
rice,48,world,50,2003,1.05674206064443
rice,48,world,50,2004,0.6868168502775167
rice,42,world,10,2006,0.6227532223619351
rice,42,world,10,2007,0.6440700055935192
rice,42,world,10,2008,0.826574905095547
rice,42,world,30,2006,0.6221228277520953
rice,42,world,30,2007,0.6409466769581321
rice,42,world,30,2008,0.8281052838741314
rice,42,world,50,2006,0.6237767601651664
rice,42,world,50,2007,0.6448524021816813
rice,42,world,50,2008,0.8331704721488252
rice,45,world,10,2006,0.6195851516110507
rice,45,world,10,2007,0.6485254445255734
rice,45,world,10,2008,0.8254268522218059
rice,45,world,30,2006,0.6164460283602813
rice,45,world,30,2007,0.6474342642080527
rice,45,world,30,2008,0.8268112991513816
rice,45,world,50,2006,0.6172217870146111
rice,45,world,50,2007,0.6527350356407172
rice,45,world,50,2008,0.8313015262302531
rice,48,world,10,2006,0.6248903994277248
rice,48,world,10,2007,0.6472358265266411
rice,48,world,10,2008,0.8348834676730752
rice,48,world,30,2006,0.6242266704661572
rice,48,world,30,2007,0.6447614924952922
rice,48,world,30,2008,0.8370722807200368
rice,48,world,50,2006,0.6262736697789213
rice,48,world,50,2007,0.6476821968413418
rice,48,world,50,2008,0.840175229324909
rice,42,world,10,2010,0.8450186868061257
rice,42,world,10,2011,0.6652629401801298
rice,42,world,10,2012,0.6715250312037898
rice,42,world,10,2013,0.8168375158610447
rice,42,world,10,2014,0.8425683560251243
rice,42,world,10,2015,0.9046029112741332
rice,42,world,10,2016,0.6899532778579661
rice,42,world,30,2010,0.8501503390587238
rice,42,world,30,2011,0.6663970110461802
rice,42,world,30,2012,0.6745876045088967
rice,42,world,30,2013,0.8270800076231
rice,42,world,30,2014,0.8413488023957237
rice,42,world,30,2015,0.9078239686854944
rice,42,world,30,2016,0.6958735991626289
rice,42,world,50,2010,0.8517870451686445
rice,42,world,50,2011,0.6683876366937659
rice,42,world,50,2012,0.6849906225237294
rice,42,world,50,2013,0.8229755685229151
rice,42,world,50,2014,0.8431721399703336
rice,42,world,50,2015,0.9109613557940242
rice,42,world,50,2016,0.6958716280793105
rice,45,world,10,2010,0.8528933147393484
rice,45,world,10,2011,0.6742542626722071
rice,45,world,10,2012,0.6677732110580981
rice,45,world,10,2013,0.8094826256165157
rice,45,world,10,2014,0.8516697356582527
rice,45,world,10,2015,0.9080168254902072
rice,45,world,10,2016,0.6852452649845855
rice,45,world,30,2010,0.8598266586610699
rice,45,world,30,2011,0.6768934124437915
rice,45,world,30,2012,0.6710752885627549
rice,45,world,30,2013,0.8152689142757197
rice,45,world,30,2014,0.8492183633376853
rice,45,world,30,2015,0.9120500145456202
rice,45,world,30,2016,0.6912828860819961
rice,45,world,50,2010,0.8750074308930472
rice,45,world,50,2011,0.6818383249329948
rice,45,world,50,2012,0.6789542985452738
rice,45,world,50,2013,0.810984283053977
rice,45,world,50,2014,0.8467659863905075
rice,45,world,50,2015,0.9165257865148252
rice,45,world,50,2016,0.6972754140969617
rice,48,world,10,2010,0.8468381710888843
rice,48,world,10,2011,0.6633700845276802
rice,48,world,10,2012,0.662072881821584
rice,48,world,10,2013,0.8014405069024241
rice,48,world,10,2014,0.8520418498170265
rice,48,world,10,2015,0.9070441652872132
rice,48,world,10,2016,0.6942306682503967
rice,48,world,30,2010,0.8529617464500039
rice,48,world,30,2011,0.6636786207722878
rice,48,world,30,2012,0.6647337019588732
rice,48,world,30,2013,0.8082595539575913
rice,48,world,30,2014,0.8491776834993872
rice,48,world,30,2015,0.9092942419556704
rice,48,world,30,2016,0.6991314084809969
rice,48,world,50,2010,0.8495403252845222
